,date,name,tweet
0,2020-11-15,<JoeBiden>," congratulations to nasa and spacex on today's launch. it’s a testament to the power of science and what we can accomplish by harnessing our innovation, ingenuity, and determination. i join all americans and the people of japan in wishing the astronauts godspeed on their journey.
"
1,2020-11-14,<JoeBiden>," to the millions of hindus, jains, sikhs, and buddhists celebrating the festival of lights,  and i send our best wishes for a #happydiwali. may your new year be filled with hope, happiness, and prosperity. sal mubarak.
"
2,2020-11-13,<JoeBiden>," i am the president-elect, but will not be president until next year. covid-19 does not respect dates on the calendar, it is accelerating right now. urgent action is needed today, now, by the current administration.
"
3,2020-11-13,<JoeBiden>," i am alarmed by the surge in reported covid-19 infections, hospitalizations, and fatalities. this crisis demands a robust and immediate federal response which has been woefully lacking.
"
4,2020-11-13,<JoeBiden>," as the remnants of tropical storm eta continue to impact the east coast, i encourage everyone in its path to heed the warnings of emergency responders and local officials. jill and i send our prayers to those facing yet another storm.
"
5,2020-11-13,<JoeBiden>," today marks five years since the horrific isis terrorist attacks in paris — an assault not just on the people of france but against our common humanity.  as president, i will work to protect americans and our allies, countering terrorism and extremist violence in all forms.
"
6,2020-11-12,<JoeBiden>," i extend my deep condolences to the loved ones of the peacekeepers, including 6 american service members, who died on tiran island, and wish a speedy recovery to the surviving american. i join all americans in honoring their sacrifice, as i keep their loved ones in my prayers.
"
7,2020-11-12,<JoeBiden>," because of the affordable care act:  - people with pre-existing conditions are protected - more than 20 million americans gained coverage - nearly 12 million seniors have had their prescription drug costs reduced  now more than ever, we have to protect and build on it.  "
8,2020-11-11,<JoeBiden>," ron klain’s deep, varied experience and capacity to work with people all across the political spectrum is precisely what i need in a white house chief of staff as we confront this moment of crisis and bring our country together again.
"
9,2020-11-11,<JoeBiden>," this veterans day, i feel the full weight of the honor and the responsibility that has been entrusted to me by the american people as the next president, and i vow to honor our country’s sacred obligation.  "
10,2020-11-11,<JoeBiden>," today, we honor the service of those who have worn the uniform of the armed forces of the united states.   to our proud veterans—i will be a commander in chief who respects your sacrifice, understands your service, and will never betray the values you fought so bravely to defend.
"
11,2020-11-10,<JoeBiden>," we are going to build a health care system that puts you and your family first — and that every american can be proud of.
"
